static QPlatformTheme* QKdeTheme::createKdeTheme(): Unable to determine KDEHOME
cong thread= 0x7f410a7fd6c0 
"47:23" core (int)message: "0:0:0:0:0;" 
start burner 
"t20_sfc_nor_writer_full-2025-11-10.log" 
"47:36" core (int)message: "0:0:0:4:0;" 
&&&&&&&&&&&burn_security_key: 0
"47:36" core (int)message: "0:0:-1:6:10;" 
ddr creater version: -1 
"47:36" core (int)message: "0:0:-1:6:20;" 
"47:36" core (int)message: "0:0:-1:6:40;" 
"47:37" core (int)message: "0:0:-1:6:50;" 
"47:38" core (int)message: "0:0:-1:6:60;" 
"47:38" core (int)message: "0:0:-1:6:70;" 
"47:38" core (int)message: "0:0:-1:6:75;" 
Nor Flash ID: 0xc84018
"47:38" core (int)message: "0:0:-1:6:80;" 
"47:38" core (string)message: "0:0:-1:12:GD25Q127CSIG;" 
"47:38" core (int)message: "0:0:-1:6:90;" 
&&&&&&&&&&&&&&bootrom_security_en: 0
"47:38" core (string)message: "0:0:-1:7:ERASING;" 
"47:54" core (int)message: "0:0:-1:6:100;" 
"47:54" core (int)message: "0:0:0:6:0;" 
"47:54" core (int)message: "0:0:0:6:0;" 
"47:54" core (int)message: "0:0:0:6:1;" 
"47:54" core (int)message: "0:0:0:6:1;" 
"47:54" core (int)message: "0:0:0:6:1;" 
"47:54" core (int)message: "0:0:0:6:2;" 
"47:54" core (int)message: "0:0:0:6:2;" 
"47:54" core (int)message: "0:0:0:6:3;" 
"47:54" core (int)message: "0:0:0:6:3;" 
"47:54" core (int)message: "0:0:0:6:3;" 
"47:55" core (int)message: "0:0:0:6:4;" 
"47:55" core (int)message: "0:0:0:6:4;" 
"47:55" core (int)message: "0:0:0:6:5;" 
"47:55" core (int)message: "0:0:0:6:5;" 
"47:55" core (int)message: "0:0:0:6:5;" 
"47:55" core (int)message: "0:0:0:6:6;" 
"47:56" core (int)message: "0:0:0:6:6;" 
"47:56" core (int)message: "0:0:0:6:7;" 
"47:56" core (int)message: "0:0:0:6:7;" 
"47:56" core (int)message: "0:0:0:6:7;" 
"47:56" core (int)message: "0:0:0:6:8;" 
"47:56" core (int)message: "0:0:0:6:8;" 
"47:56" core (int)message: "0:0:0:6:8;" 
"47:57" core (int)message: "0:0:0:6:9;" 
"47:57" core (int)message: "0:0:0:6:9;" 
"47:57" core (int)message: "0:0:0:6:10;" 
"47:57" core (int)message: "0:0:0:6:10;" 
"47:57" core (int)message: "0:0:0:6:10;" 
"47:57" core (int)message: "0:0:0:6:11;" 
"47:57" core (int)message: "0:0:0:6:11;" 
"47:58" core (int)message: "0:0:0:6:12;" 
"47:58" core (int)message: "0:0:0:6:12;" 
"47:58" core (int)message: "0:0:0:6:12;" 
"47:58" core (int)message: "0:0:0:6:13;" 
"47:58" core (int)message: "0:0:0:6:13;" 
"47:58" core (int)message: "0:0:0:6:14;" 
"47:58" core (int)message: "0:0:0:6:14;" 
"47:59" core (int)message: "0:0:0:6:14;" 
"47:59" core (int)message: "0:0:0:6:15;" 
"47:59" core (int)message: "0:0:0:6:15;" 
"47:59" core (int)message: "0:0:0:6:16;" 
"47:59" core (int)message: "0:0:0:6:16;" 
"47:59" core (int)message: "0:0:0:6:16;" 
"47:59" core (int)message: "0:0:0:6:17;" 
"48:00" core (int)message: "0:0:0:6:17;" 
"48:00" core (int)message: "0:0:0:6:17;" 
"48:00" core (int)message: "0:0:0:6:18;" 
"48:00" core (int)message: "0:0:0:6:18;" 
"48:00" core (int)message: "0:0:0:6:19;" 
"48:00" core (int)message: "0:0:0:6:19;" 
"48:00" core (int)message: "0:0:0:6:19;" 
"48:01" core (int)message: "0:0:0:6:20;" 
"48:01" core (int)message: "0:0:0:6:20;" 
"48:01" core (int)message: "0:0:0:6:21;" 
"48:01" core (int)message: "0:0:0:6:21;" 
"48:01" core (int)message: "0:0:0:6:21;" 
"48:01" core (int)message: "0:0:0:6:22;" 
"48:01" core (int)message: "0:0:0:6:22;" 
"48:02" core (int)message: "0:0:0:6:23;" 
"48:02" core (int)message: "0:0:0:6:23;" 
"48:02" core (int)message: "0:0:0:6:23;" 
"48:02" core (int)message: "0:0:0:6:24;" 
"48:02" core (int)message: "0:0:0:6:24;" 
"48:02" core (int)message: "0:0:0:6:25;" 
"48:02" core (int)message: "0:0:0:6:25;" 
"48:03" core (int)message: "0:0:0:6:25;" 
"48:03" core (int)message: "0:0:0:6:26;" 
"48:03" core (int)message: "0:0:0:6:26;" 
"48:03" core (int)message: "0:0:0:6:26;" 
"48:03" core (int)message: "0:0:0:6:27;" 
"48:03" core (int)message: "0:0:0:6:27;" 
"48:03" core (int)message: "0:0:0:6:28;" 
"48:04" core (int)message: "0:0:0:6:28;" 
"48:04" core (int)message: "0:0:0:6:28;" 
"48:04" core (int)message: "0:0:0:6:29;" 
"48:04" core (int)message: "0:0:0:6:29;" 
"48:04" core (int)message: "0:0:0:6:30;" 
"48:04" core (int)message: "0:0:0:6:30;" 
"48:04" core (int)message: "0:0:0:6:30;" 
"48:05" core (int)message: "0:0:0:6:31;" 
"48:05" core (int)message: "0:0:0:6:31;" 
"48:05" core (int)message: "0:0:0:6:32;" 
"48:05" core (int)message: "0:0:0:6:32;" 
"48:05" core (int)message: "0:0:0:6:32;" 
"48:05" core (int)message: "0:0:0:6:33;" 
"48:05" core (int)message: "0:0:0:6:33;" 
"48:06" core (int)message: "0:0:0:6:33;" 
"48:06" core (int)message: "0:0:0:6:34;" 
"48:06" core (int)message: "0:0:0:6:34;" 
"48:06" core (int)message: "0:0:0:6:35;" 
"48:06" core (int)message: "0:0:0:6:35;" 
"48:06" core (int)message: "0:0:0:6:35;" 
"48:06" core (int)message: "0:0:0:6:36;" 
"48:07" core (int)message: "0:0:0:6:36;" 
"48:07" core (int)message: "0:0:0:6:37;" 
"48:07" core (int)message: "0:0:0:6:37;" 
"48:07" core (int)message: "0:0:0:6:37;" 
"48:07" core (int)message: "0:0:0:6:38;" 
"48:07" core (int)message: "0:0:0:6:38;" 
"48:07" core (int)message: "0:0:0:6:39;" 
"48:08" core (int)message: "0:0:0:6:39;" 
"48:08" core (int)message: "0:0:0:6:39;" 
"48:08" core (int)message: "0:0:0:6:40;" 
"48:08" core (int)message: "0:0:0:6:40;" 
"48:08" core (int)message: "0:0:0:6:41;" 
"48:08" core (int)message: "0:0:0:6:41;" 
"48:08" core (int)message: "0:0:0:6:41;" 
"48:09" core (int)message: "0:0:0:6:42;" 
"48:09" core (int)message: "0:0:0:6:42;" 
"48:09" core (int)message: "0:0:0:6:42;" 
"48:09" core (int)message: "0:0:0:6:43;" 
"48:09" core (int)message: "0:0:0:6:43;" 
"48:09" core (int)message: "0:0:0:6:44;" 
"48:09" core (int)message: "0:0:0:6:44;" 
"48:10" core (int)message: "0:0:0:6:44;" 
"48:10" core (int)message: "0:0:0:6:45;" 
"48:10" core (int)message: "0:0:0:6:45;" 
"48:10" core (int)message: "0:0:0:6:46;" 
"48:10" core (int)message: "0:0:0:6:46;" 
"48:10" core (int)message: "0:0:0:6:46;" 
"48:10" core (int)message: "0:0:0:6:47;" 
"48:11" core (int)message: "0:0:0:6:47;" 
"48:11" core (int)message: "0:0:0:6:48;" 
"48:11" core (int)message: "0:0:0:6:48;" 
"48:11" core (int)message: "0:0:0:6:48;" 
"48:11" core (int)message: "0:0:0:6:49;" 
"48:11" core (int)message: "0:0:0:6:49;" 
"48:11" core (int)message: "0:0:0:6:50;" 
"48:11" core (int)message: "0:0:0:6:50;" 
"48:11" core (int)message: "0:0:0:6:50;" 
"48:11" core (int)message: "0:0:0:6:51;" 
"48:11" core (int)message: "0:0:0:6:51;" 
"48:11" core (int)message: "0:0:0:6:51;" 
"48:11" core (int)message: "0:0:0:6:52;" 
"48:11" core (int)message: "0:0:0:6:52;" 
"48:12" core (int)message: "0:0:0:6:53;" 
"48:12" core (int)message: "0:0:0:6:53;" 
"48:12" core (int)message: "0:0:0:6:53;" 
"48:12" core (int)message: "0:0:0:6:54;" 
"48:12" core (int)message: "0:0:0:6:54;" 
"48:12" core (int)message: "0:0:0:6:55;" 
"48:12" core (int)message: "0:0:0:6:55;" 
"48:12" core (int)message: "0:0:0:6:55;" 
"48:12" core (int)message: "0:0:0:6:56;" 
"48:12" core (int)message: "0:0:0:6:56;" 
"48:12" core (int)message: "0:0:0:6:57;" 
"48:12" core (int)message: "0:0:0:6:57;" 
"48:12" core (int)message: "0:0:0:6:57;" 
"48:12" core (int)message: "0:0:0:6:58;" 
"48:12" core (int)message: "0:0:0:6:58;" 
"48:12" core (int)message: "0:0:0:6:58;" 
"48:12" core (int)message: "0:0:0:6:59;" 
"48:12" core (int)message: "0:0:0:6:59;" 
"48:12" core (int)message: "0:0:0:6:60;" 
"48:12" core (int)message: "0:0:0:6:60;" 
"48:12" core (int)message: "0:0:0:6:60;" 
"48:13" core (int)message: "0:0:0:6:61;" 
"48:13" core (int)message: "0:0:0:6:61;" 
"48:13" core (int)message: "0:0:0:6:62;" 
"48:13" core (int)message: "0:0:0:6:62;" 
"48:13" core (int)message: "0:0:0:6:62;" 
"48:13" core (int)message: "0:0:0:6:63;" 
"48:13" core (int)message: "0:0:0:6:63;" 
"48:13" core (int)message: "0:0:0:6:64;" 
"48:13" core (int)message: "0:0:0:6:64;" 
"48:13" core (int)message: "0:0:0:6:64;" 
"48:13" core (int)message: "0:0:0:6:65;" 
"48:13" core (int)message: "0:0:0:6:65;" 
"48:13" core (int)message: "0:0:0:6:66;" 
"48:13" core (int)message: "0:0:0:6:66;" 
"48:13" core (int)message: "0:0:0:6:66;" 
"48:13" core (int)message: "0:0:0:6:67;" 
"48:13" core (int)message: "0:0:0:6:67;" 
"48:13" core (int)message: "0:0:0:6:67;" 
"48:13" core (int)message: "0:0:0:6:68;" 
"48:13" core (int)message: "0:0:0:6:68;" 
"48:13" core (int)message: "0:0:0:6:69;" 
"48:13" core (int)message: "0:0:0:6:69;" 
"48:14" core (int)message: "0:0:0:6:69;" 
"48:14" core (int)message: "0:0:0:6:70;" 
"48:14" core (int)message: "0:0:0:6:70;" 
"48:14" core (int)message: "0:0:0:6:71;" 
"48:14" core (int)message: "0:0:0:6:71;" 
"48:14" core (int)message: "0:0:0:6:71;" 
"48:14" core (int)message: "0:0:0:6:72;" 
"48:14" core (int)message: "0:0:0:6:72;" 
"48:14" core (int)message: "0:0:0:6:73;" 
"48:14" core (int)message: "0:0:0:6:73;" 
"48:14" core (int)message: "0:0:0:6:73;" 
"48:14" core (int)message: "0:0:0:6:74;" 
"48:14" core (int)message: "0:0:0:6:74;" 
"48:14" core (int)message: "0:0:0:6:75;" 
"48:14" core (int)message: "0:0:0:6:75;" 
"48:14" core (int)message: "0:0:0:6:75;" 
"48:14" core (int)message: "0:0:0:6:76;" 
"48:14" core (int)message: "0:0:0:6:76;" 
"48:14" core (int)message: "0:0:0:6:76;" 
"48:14" core (int)message: "0:0:0:6:77;" 
"48:14" core (int)message: "0:0:0:6:77;" 
"48:14" core (int)message: "0:0:0:6:78;" 
"48:15" core (int)message: "0:0:0:6:78;" 
"48:15" core (int)message: "0:0:0:6:78;" 
"48:15" core (int)message: "0:0:0:6:79;" 
"48:15" core (int)message: "0:0:0:6:79;" 
"48:15" core (int)message: "0:0:0:6:80;" 
"48:15" core (int)message: "0:0:0:6:80;" 
"48:15" core (int)message: "0:0:0:6:80;" 
"48:15" core (int)message: "0:0:0:6:81;" 
"48:15" core (int)message: "0:0:0:6:81;" 
"48:15" core (int)message: "0:0:0:6:82;" 
"48:15" core (int)message: "0:0:0:6:82;" 
"48:15" core (int)message: "0:0:0:6:82;" 
"48:15" core (int)message: "0:0:0:6:83;" 
"48:15" core (int)message: "0:0:0:6:83;" 
"48:15" core (int)message: "0:0:0:6:83;" 
"48:15" core (int)message: "0:0:0:6:84;" 
"48:15" core (int)message: "0:0:0:6:84;" 
"48:15" core (int)message: "0:0:0:6:85;" 
"48:15" core (int)message: "0:0:0:6:85;" 
"48:15" core (int)message: "0:0:0:6:85;" 
"48:15" core (int)message: "0:0:0:6:86;" 
"48:16" core (int)message: "0:0:0:6:86;" 
"48:16" core (int)message: "0:0:0:6:87;" 
"48:16" core (int)message: "0:0:0:6:87;" 
"48:16" core (int)message: "0:0:0:6:87;" 
"48:16" core (int)message: "0:0:0:6:88;" 
"48:16" core (int)message: "0:0:0:6:88;" 
"48:16" core (int)message: "0:0:0:6:89;" 
"48:16" core (int)message: "0:0:0:6:89;" 
"48:16" core (int)message: "0:0:0:6:89;" 
"48:16" core (int)message: "0:0:0:6:90;" 
"48:16" core (int)message: "0:0:0:6:90;" 
"48:16" core (int)message: "0:0:0:6:91;" 
"48:16" core (int)message: "0:0:0:6:91;" 
"48:16" core (int)message: "0:0:0:6:91;" 
"48:16" core (int)message: "0:0:0:6:92;" 
"48:16" core (int)message: "0:0:0:6:92;" 
"48:16" core (int)message: "0:0:0:6:92;" 
"48:16" core (int)message: "0:0:0:6:93;" 
"48:16" core (int)message: "0:0:0:6:93;" 
"48:16" core (int)message: "0:0:0:6:94;" 
"48:16" core (int)message: "0:0:0:6:94;" 
"48:16" core (int)message: "0:0:0:6:94;" 
"48:17" core (int)message: "0:0:0:6:95;" 
"48:17" core (int)message: "0:0:0:6:95;" 
"48:17" core (int)message: "0:0:0:6:96;" 
"48:17" core (int)message: "0:0:0:6:96;" 
"48:17" core (int)message: "0:0:0:6:96;" 
"48:17" core (int)message: "0:0:0:6:97;" 
"48:17" core (int)message: "0:0:0:6:97;" 
"48:17" core (int)message: "0:0:0:6:98;" 
