static QPlatformTheme* QKdeTheme::createKdeTheme(): Unable to determine KDEHOME
cong thread= 0x7fe81f3fd6c0 
"54:54" core (int)message: "0:0:0:0:0;" 
start burner 
"t20_sfc_nor_writer_full-2025-11-10.log" 
"55:17" core (int)message: "0:0:0:4:0;" 
&&&&&&&&&&&burn_security_key: 0
"55:17" core (int)message: "0:0:-1:6:10;" 
ddr creater version: -1 
"55:17" core (int)message: "0:0:-1:6:20;" 
"55:17" core (int)message: "0:0:-1:6:40;" 
"55:18" core (int)message: "0:0:-1:6:50;" 
"55:18" core (int)message: "0:0:-1:6:60;" 
"55:18" core (int)message: "0:0:-1:6:70;" 
"55:18" core (int)message: "0:0:-1:6:75;" 
Nor Flash ID: 0xc84018
"55:18" core (int)message: "0:0:-1:6:80;" 
"55:18" core (string)message: "0:0:-1:12:GD25Q127CSIG;" 
"55:18" core (int)message: "0:0:-1:6:90;" 
&&&&&&&&&&&&&&bootrom_security_en: 0
"55:18" core (string)message: "0:0:-1:7:ERASING;" 
"56:06" core (int)message: "0:0:-1:6:100;" 
"56:06" core (int)message: "0:0:0:6:0;" 
"56:06" core (int)message: "0:0:0:6:0;" 
"56:07" core (int)message: "0:0:0:6:1;" 
"56:07" core (int)message: "0:0:0:6:1;" 
"56:07" core (int)message: "0:0:0:6:1;" 
"56:07" core (int)message: "0:0:0:6:2;" 
"56:07" core (int)message: "0:0:0:6:2;" 
"56:07" core (int)message: "0:0:0:6:3;" 
"56:07" core (int)message: "0:0:0:6:3;" 
"56:07" core (int)message: "0:0:0:6:3;" 
"56:07" core (int)message: "0:0:0:6:4;" 
"56:07" core (int)message: "0:0:0:6:4;" 
"56:07" core (int)message: "0:0:0:6:5;" 
"56:08" core (int)message: "0:0:0:6:5;" 
"56:08" core (int)message: "0:0:0:6:5;" 
"56:08" core (int)message: "0:0:0:6:6;" 
"56:08" core (int)message: "0:0:0:6:6;" 
"56:08" core (int)message: "0:0:0:6:7;" 
"56:08" core (int)message: "0:0:0:6:7;" 
"56:08" core (int)message: "0:0:0:6:7;" 
"56:09" core (int)message: "0:0:0:6:8;" 
"56:09" core (int)message: "0:0:0:6:8;" 
"56:09" core (int)message: "0:0:0:6:8;" 
"56:09" core (int)message: "0:0:0:6:9;" 
"56:09" core (int)message: "0:0:0:6:9;" 
"56:09" core (int)message: "0:0:0:6:10;" 
"56:09" core (int)message: "0:0:0:6:10;" 
"56:10" core (int)message: "0:0:0:6:10;" 
"56:10" core (int)message: "0:0:0:6:11;" 
"56:10" core (int)message: "0:0:0:6:11;" 
"56:10" core (int)message: "0:0:0:6:12;" 
"56:10" core (int)message: "0:0:0:6:12;" 
"56:10" core (int)message: "0:0:0:6:12;" 
"56:10" core (int)message: "0:0:0:6:13;" 
"56:11" core (int)message: "0:0:0:6:13;" 
"56:11" core (int)message: "0:0:0:6:14;" 
"56:11" core (int)message: "0:0:0:6:14;" 
"56:11" core (int)message: "0:0:0:6:14;" 
"56:11" core (int)message: "0:0:0:6:15;" 
"56:11" core (int)message: "0:0:0:6:15;" 
"56:11" core (int)message: "0:0:0:6:16;" 
"56:12" core (int)message: "0:0:0:6:16;" 
"56:12" core (int)message: "0:0:0:6:16;" 
"56:12" core (int)message: "0:0:0:6:17;" 
"56:12" core (int)message: "0:0:0:6:17;" 
"56:12" core (int)message: "0:0:0:6:17;" 
"56:12" core (int)message: "0:0:0:6:18;" 
"56:12" core (int)message: "0:0:0:6:18;" 
"56:13" core (int)message: "0:0:0:6:19;" 
"56:13" core (int)message: "0:0:0:6:19;" 
"56:13" core (int)message: "0:0:0:6:19;" 
"56:13" core (int)message: "0:0:0:6:20;" 
"56:13" core (int)message: "0:0:0:6:20;" 
"56:13" core (int)message: "0:0:0:6:21;" 
"56:13" core (int)message: "0:0:0:6:21;" 
"56:14" core (int)message: "0:0:0:6:21;" 
"56:14" core (int)message: "0:0:0:6:22;" 
"56:14" core (int)message: "0:0:0:6:22;" 
"56:14" core (int)message: "0:0:0:6:23;" 
"56:14" core (int)message: "0:0:0:6:23;" 
"56:14" core (int)message: "0:0:0:6:23;" 
"56:14" core (int)message: "0:0:0:6:24;" 
"56:15" core (int)message: "0:0:0:6:24;" 
"56:15" core (int)message: "0:0:0:6:25;" 
"56:15" core (int)message: "0:0:0:6:25;" 
"56:15" core (int)message: "0:0:0:6:25;" 
"56:15" core (int)message: "0:0:0:6:26;" 
"56:15" core (int)message: "0:0:0:6:26;" 
"56:15" core (int)message: "0:0:0:6:26;" 
"56:16" core (int)message: "0:0:0:6:27;" 
"56:16" core (int)message: "0:0:0:6:27;" 
"56:16" core (int)message: "0:0:0:6:28;" 
"56:16" core (int)message: "0:0:0:6:28;" 
"56:16" core (int)message: "0:0:0:6:28;" 
"56:16" core (int)message: "0:0:0:6:29;" 
"56:16" core (int)message: "0:0:0:6:29;" 
"56:17" core (int)message: "0:0:0:6:30;" 
"56:17" core (int)message: "0:0:0:6:30;" 
"56:17" core (int)message: "0:0:0:6:30;" 
"56:17" core (int)message: "0:0:0:6:31;" 
"56:17" core (int)message: "0:0:0:6:31;" 
"56:17" core (int)message: "0:0:0:6:32;" 
"56:17" core (int)message: "0:0:0:6:32;" 
"56:18" core (int)message: "0:0:0:6:32;" 
"56:18" core (int)message: "0:0:0:6:33;" 
"56:18" core (int)message: "0:0:0:6:33;" 
"56:18" core (int)message: "0:0:0:6:33;" 
"56:18" core (int)message: "0:0:0:6:34;" 
"56:18" core (int)message: "0:0:0:6:34;" 
"56:18" core (int)message: "0:0:0:6:35;" 
"56:19" core (int)message: "0:0:0:6:35;" 
"56:19" core (int)message: "0:0:0:6:35;" 
"56:19" core (int)message: "0:0:0:6:36;" 
"56:19" core (int)message: "0:0:0:6:36;" 
"56:19" core (int)message: "0:0:0:6:37;" 
"56:19" core (int)message: "0:0:0:6:37;" 
"56:19" core (int)message: "0:0:0:6:37;" 
"56:20" core (int)message: "0:0:0:6:38;" 
"56:20" core (int)message: "0:0:0:6:38;" 
"56:20" core (int)message: "0:0:0:6:39;" 
"56:20" core (int)message: "0:0:0:6:39;" 
"56:20" core (int)message: "0:0:0:6:39;" 
"56:20" core (int)message: "0:0:0:6:40;" 
"56:20" core (int)message: "0:0:0:6:40;" 
"56:20" core (int)message: "0:0:0:6:41;" 
"56:21" core (int)message: "0:0:0:6:41;" 
"56:21" core (int)message: "0:0:0:6:41;" 
"56:21" core (int)message: "0:0:0:6:42;" 
"56:21" core (int)message: "0:0:0:6:42;" 
"56:21" core (int)message: "0:0:0:6:42;" 
"56:21" core (int)message: "0:0:0:6:43;" 
"56:21" core (int)message: "0:0:0:6:43;" 
"56:22" core (int)message: "0:0:0:6:44;" 
"56:22" core (int)message: "0:0:0:6:44;" 
"56:22" core (int)message: "0:0:0:6:44;" 
"56:22" core (int)message: "0:0:0:6:45;" 
"56:22" core (int)message: "0:0:0:6:45;" 
"56:22" core (int)message: "0:0:0:6:46;" 
"56:22" core (int)message: "0:0:0:6:46;" 
"56:23" core (int)message: "0:0:0:6:46;" 
"56:23" core (int)message: "0:0:0:6:47;" 
"56:23" core (int)message: "0:0:0:6:47;" 
"56:23" core (int)message: "0:0:0:6:48;" 
"56:23" core (int)message: "0:0:0:6:48;" 
"56:23" core (int)message: "0:0:0:6:48;" 
"56:23" core (int)message: "0:0:0:6:49;" 
"56:23" core (int)message: "0:0:0:6:49;" 
"56:24" core (int)message: "0:0:0:6:50;" 
"56:24" core (int)message: "0:0:0:6:50;" 
"56:24" core (int)message: "0:0:0:6:50;" 
"56:24" core (int)message: "0:0:0:6:51;" 
"56:24" core (int)message: "0:0:0:6:51;" 
"56:24" core (int)message: "0:0:0:6:51;" 
"56:24" core (int)message: "0:0:0:6:52;" 
"56:24" core (int)message: "0:0:0:6:52;" 
"56:24" core (int)message: "0:0:0:6:53;" 
"56:24" core (int)message: "0:0:0:6:53;" 
"56:24" core (int)message: "0:0:0:6:53;" 
"56:24" core (int)message: "0:0:0:6:54;" 
"56:24" core (int)message: "0:0:0:6:54;" 
"56:24" core (int)message: "0:0:0:6:55;" 
"56:24" core (int)message: "0:0:0:6:55;" 
"56:24" core (int)message: "0:0:0:6:55;" 
"56:24" core (int)message: "0:0:0:6:56;" 
"56:24" core (int)message: "0:0:0:6:56;" 
"56:24" core (int)message: "0:0:0:6:57;" 
"56:24" core (int)message: "0:0:0:6:57;" 
"56:24" core (int)message: "0:0:0:6:57;" 
"56:24" core (int)message: "0:0:0:6:58;" 
"56:25" core (int)message: "0:0:0:6:58;" 
"56:25" core (int)message: "0:0:0:6:58;" 
"56:25" core (int)message: "0:0:0:6:59;" 
"56:25" core (int)message: "0:0:0:6:59;" 
"56:25" core (int)message: "0:0:0:6:60;" 
"56:25" core (int)message: "0:0:0:6:60;" 
"56:25" core (int)message: "0:0:0:6:60;" 
"56:25" core (int)message: "0:0:0:6:61;" 
"56:25" core (int)message: "0:0:0:6:61;" 
"56:25" core (int)message: "0:0:0:6:62;" 
"56:25" core (int)message: "0:0:0:6:62;" 
"56:25" core (int)message: "0:0:0:6:62;" 
"56:25" core (int)message: "0:0:0:6:63;" 
"56:25" core (int)message: "0:0:0:6:63;" 
"56:25" core (int)message: "0:0:0:6:64;" 
"56:25" core (int)message: "0:0:0:6:64;" 
"56:25" core (int)message: "0:0:0:6:64;" 
"56:25" core (int)message: "0:0:0:6:65;" 
"56:25" core (int)message: "0:0:0:6:65;" 
"56:25" core (int)message: "0:0:0:6:66;" 
"56:25" core (int)message: "0:0:0:6:66;" 
"56:25" core (int)message: "0:0:0:6:66;" 
"56:25" core (int)message: "0:0:0:6:67;" 
"56:26" core (int)message: "0:0:0:6:67;" 
"56:26" core (int)message: "0:0:0:6:67;" 
"56:26" core (int)message: "0:0:0:6:68;" 
"56:26" core (int)message: "0:0:0:6:68;" 
"56:26" core (int)message: "0:0:0:6:69;" 
"56:26" core (int)message: "0:0:0:6:69;" 
"56:26" core (int)message: "0:0:0:6:69;" 
"56:26" core (int)message: "0:0:0:6:70;" 
"56:26" core (int)message: "0:0:0:6:70;" 
"56:26" core (int)message: "0:0:0:6:71;" 
"56:26" core (int)message: "0:0:0:6:71;" 
"56:26" core (int)message: "0:0:0:6:71;" 
"56:26" core (int)message: "0:0:0:6:72;" 
"56:26" core (int)message: "0:0:0:6:72;" 
"56:26" core (int)message: "0:0:0:6:73;" 
"56:26" core (int)message: "0:0:0:6:73;" 
"56:26" core (int)message: "0:0:0:6:73;" 
"56:26" core (int)message: "0:0:0:6:74;" 
"56:26" core (int)message: "0:0:0:6:74;" 
"56:26" core (int)message: "0:0:0:6:75;" 
"56:26" core (int)message: "0:0:0:6:75;" 
"56:26" core (int)message: "0:0:0:6:75;" 
"56:27" core (int)message: "0:0:0:6:76;" 
"56:27" core (int)message: "0:0:0:6:76;" 
"56:27" core (int)message: "0:0:0:6:76;" 
"56:27" core (int)message: "0:0:0:6:77;" 
"56:27" core (int)message: "0:0:0:6:77;" 
"56:27" core (int)message: "0:0:0:6:78;" 
"56:27" core (int)message: "0:0:0:6:78;" 
"56:27" core (int)message: "0:0:0:6:78;" 
"56:27" core (int)message: "0:0:0:6:79;" 
"56:27" core (int)message: "0:0:0:6:79;" 
"56:27" core (int)message: "0:0:0:6:80;" 
"56:27" core (int)message: "0:0:0:6:80;" 
"56:27" core (int)message: "0:0:0:6:80;" 
"56:27" core (int)message: "0:0:0:6:81;" 
"56:27" core (int)message: "0:0:0:6:81;" 
"56:27" core (int)message: "0:0:0:6:82;" 
"56:27" core (int)message: "0:0:0:6:82;" 
"56:27" core (int)message: "0:0:0:6:82;" 
"56:27" core (int)message: "0:0:0:6:83;" 
"56:27" core (int)message: "0:0:0:6:83;" 
"56:27" core (int)message: "0:0:0:6:83;" 
"56:27" core (int)message: "0:0:0:6:84;" 
"56:27" core (int)message: "0:0:0:6:84;" 
"56:28" core (int)message: "0:0:0:6:85;" 
"56:28" core (int)message: "0:0:0:6:85;" 
"56:28" core (int)message: "0:0:0:6:85;" 
"56:28" core (int)message: "0:0:0:6:86;" 
"56:28" core (int)message: "0:0:0:6:86;" 
"56:28" core (int)message: "0:0:0:6:87;" 
"56:28" core (int)message: "0:0:0:6:87;" 
"56:28" core (int)message: "0:0:0:6:87;" 
"56:28" core (int)message: "0:0:0:6:88;" 
"56:28" core (int)message: "0:0:0:6:88;" 
"56:28" core (int)message: "0:0:0:6:89;" 
"56:28" core (int)message: "0:0:0:6:89;" 
"56:28" core (int)message: "0:0:0:6:89;" 
"56:28" core (int)message: "0:0:0:6:90;" 
"56:28" core (int)message: "0:0:0:6:90;" 
"56:28" core (int)message: "0:0:0:6:91;" 
"56:28" core (int)message: "0:0:0:6:91;" 
"56:28" core (int)message: "0:0:0:6:91;" 
"56:28" core (int)message: "0:0:0:6:92;" 
"56:28" core (int)message: "0:0:0:6:92;" 
"56:28" core (int)message: "0:0:0:6:92;" 
"56:28" core (int)message: "0:0:0:6:93;" 
"56:29" core (int)message: "0:0:0:6:93;" 
"56:29" core (int)message: "0:0:0:6:94;" 
"56:29" core (int)message: "0:0:0:6:94;" 
"56:29" core (int)message: "0:0:0:6:94;" 
"56:29" core (int)message: "0:0:0:6:95;" 
"56:29" core (int)message: "0:0:0:6:95;" 
"56:29" core (int)message: "0:0:0:6:96;" 
"56:29" core (int)message: "0:0:0:6:96;" 
"56:29" core (int)message: "0:0:0:6:96;" 
"56:29" core (int)message: "0:0:0:6:97;" 
"56:29" core (int)message: "0:0:0:6:97;" 
"56:29" core (int)message: "0:0:0:6:98;" 
