static QPlatformTheme* QKdeTheme::createKdeTheme(): Unable to determine KDEHOME
cong thread= 0x7f034edfd6c0 
"05:04" core (int)message: "0:0:0:0:0;" 
start burner 
"t20_sfc_nor_writer_full-2025-11-10.log" 
"05:11" core (int)message: "0:0:0:4:0;" 
&&&&&&&&&&&burn_security_key: 0
"05:11" core (int)message: "0:0:-1:6:10;" 
ddr creater version: -1 
"05:11" core (int)message: "0:0:-1:6:20;" 
"05:11" core (int)message: "0:0:-1:6:40;" 
"05:12" core (int)message: "0:0:-1:6:50;" 
"05:12" core (int)message: "0:0:-1:6:60;" 
"05:13" core (int)message: "0:0:-1:6:70;" 
"05:13" core (int)message: "0:0:-1:6:75;" 
Nor Flash ID: 0xc84018
"05:13" core (int)message: "0:0:-1:6:80;" 
"05:13" core (string)message: "0:0:-1:12:GD25Q127CSIG;" 
"05:13" core (int)message: "0:0:-1:6:90;" 
&&&&&&&&&&&&&&bootrom_security_en: 0
"05:13" core (string)message: "0:0:-1:7:ERASING;" 
"06:01" core (int)message: "0:0:-1:6:100;" 
"06:01" core (int)message: "0:0:0:6:0;" 
"06:01" core (int)message: "0:0:0:6:0;" 
"06:01" core (int)message: "0:0:0:6:1;" 
"06:01" core (int)message: "0:0:0:6:1;" 
"06:01" core (int)message: "0:0:0:6:1;" 
"06:01" core (int)message: "0:0:0:6:2;" 
"06:01" core (int)message: "0:0:0:6:2;" 
"06:01" core (int)message: "0:0:0:6:3;" 
"06:02" core (int)message: "0:0:0:6:3;" 
"06:02" core (int)message: "0:0:0:6:3;" 
"06:02" core (int)message: "0:0:0:6:4;" 
"06:02" core (int)message: "0:0:0:6:4;" 
"06:02" core (int)message: "0:0:0:6:5;" 
"06:02" core (int)message: "0:0:0:6:5;" 
"06:02" core (int)message: "0:0:0:6:5;" 
"06:03" core (int)message: "0:0:0:6:6;" 
"06:03" core (int)message: "0:0:0:6:6;" 
"06:03" core (int)message: "0:0:0:6:7;" 
"06:03" core (int)message: "0:0:0:6:7;" 
"06:03" core (int)message: "0:0:0:6:7;" 
"06:03" core (int)message: "0:0:0:6:8;" 
"06:03" core (int)message: "0:0:0:6:8;" 
"06:04" core (int)message: "0:0:0:6:8;" 
"06:04" core (int)message: "0:0:0:6:9;" 
"06:04" core (int)message: "0:0:0:6:9;" 
"06:04" core (int)message: "0:0:0:6:10;" 
"06:04" core (int)message: "0:0:0:6:10;" 
"06:04" core (int)message: "0:0:0:6:10;" 
"06:04" core (int)message: "0:0:0:6:11;" 
"06:05" core (int)message: "0:0:0:6:11;" 
"06:05" core (int)message: "0:0:0:6:12;" 
"06:05" core (int)message: "0:0:0:6:12;" 
"06:05" core (int)message: "0:0:0:6:12;" 
"06:05" core (int)message: "0:0:0:6:13;" 
"06:05" core (int)message: "0:0:0:6:13;" 
"06:05" core (int)message: "0:0:0:6:14;" 
"06:06" core (int)message: "0:0:0:6:14;" 
"06:06" core (int)message: "0:0:0:6:14;" 
"06:06" core (int)message: "0:0:0:6:15;" 
"06:06" core (int)message: "0:0:0:6:15;" 
"06:06" core (int)message: "0:0:0:6:16;" 
"06:06" core (int)message: "0:0:0:6:16;" 
"06:06" core (int)message: "0:0:0:6:16;" 
"06:07" core (int)message: "0:0:0:6:17;" 
"06:07" core (int)message: "0:0:0:6:17;" 
"06:07" core (int)message: "0:0:0:6:17;" 
"06:07" core (int)message: "0:0:0:6:18;" 
"06:07" core (int)message: "0:0:0:6:18;" 
"06:07" core (int)message: "0:0:0:6:19;" 
"06:07" core (int)message: "0:0:0:6:19;" 
"06:08" core (int)message: "0:0:0:6:19;" 
"06:08" core (int)message: "0:0:0:6:20;" 
"06:08" core (int)message: "0:0:0:6:20;" 
"06:08" core (int)message: "0:0:0:6:21;" 
"06:08" core (int)message: "0:0:0:6:21;" 
"06:08" core (int)message: "0:0:0:6:21;" 
"06:08" core (int)message: "0:0:0:6:22;" 
"06:09" core (int)message: "0:0:0:6:22;" 
"06:09" core (int)message: "0:0:0:6:23;" 
"06:09" core (int)message: "0:0:0:6:23;" 
"06:09" core (int)message: "0:0:0:6:23;" 
"06:09" core (int)message: "0:0:0:6:24;" 
"06:09" core (int)message: "0:0:0:6:24;" 
"06:09" core (int)message: "0:0:0:6:25;" 
"06:10" core (int)message: "0:0:0:6:25;" 
"06:10" core (int)message: "0:0:0:6:25;" 
"06:10" core (int)message: "0:0:0:6:26;" 
"06:10" core (int)message: "0:0:0:6:26;" 
"06:10" core (int)message: "0:0:0:6:26;" 
"06:10" core (int)message: "0:0:0:6:27;" 
"06:10" core (int)message: "0:0:0:6:27;" 
"06:11" core (int)message: "0:0:0:6:28;" 
"06:11" core (int)message: "0:0:0:6:28;" 
"06:11" core (int)message: "0:0:0:6:28;" 
"06:11" core (int)message: "0:0:0:6:29;" 
"06:11" core (int)message: "0:0:0:6:29;" 
"06:11" core (int)message: "0:0:0:6:30;" 
"06:11" core (int)message: "0:0:0:6:30;" 
"06:12" core (int)message: "0:0:0:6:30;" 
"06:12" core (int)message: "0:0:0:6:31;" 
"06:12" core (int)message: "0:0:0:6:31;" 
"06:12" core (int)message: "0:0:0:6:32;" 
"06:12" core (int)message: "0:0:0:6:32;" 
"06:12" core (int)message: "0:0:0:6:32;" 
"06:12" core (int)message: "0:0:0:6:33;" 
"06:13" core (int)message: "0:0:0:6:33;" 
"06:13" core (int)message: "0:0:0:6:33;" 
"06:13" core (int)message: "0:0:0:6:34;" 
"06:13" core (int)message: "0:0:0:6:34;" 
"06:13" core (int)message: "0:0:0:6:35;" 
"06:13" core (int)message: "0:0:0:6:35;" 
"06:13" core (int)message: "0:0:0:6:35;" 
"06:13" core (int)message: "0:0:0:6:36;" 
"06:14" core (int)message: "0:0:0:6:36;" 
"06:14" core (int)message: "0:0:0:6:37;" 
"06:14" core (int)message: "0:0:0:6:37;" 
"06:14" core (int)message: "0:0:0:6:37;" 
"06:14" core (int)message: "0:0:0:6:38;" 
"06:14" core (int)message: "0:0:0:6:38;" 
"06:14" core (int)message: "0:0:0:6:39;" 
"06:15" core (int)message: "0:0:0:6:39;" 
"06:15" core (int)message: "0:0:0:6:39;" 
"06:15" core (int)message: "0:0:0:6:40;" 
"06:15" core (int)message: "0:0:0:6:40;" 
"06:15" core (int)message: "0:0:0:6:41;" 
"06:15" core (int)message: "0:0:0:6:41;" 
"06:15" core (int)message: "0:0:0:6:41;" 
"06:16" core (int)message: "0:0:0:6:42;" 
"06:16" core (int)message: "0:0:0:6:42;" 
"06:16" core (int)message: "0:0:0:6:42;" 
"06:16" core (int)message: "0:0:0:6:43;" 
"06:16" core (int)message: "0:0:0:6:43;" 
"06:16" core (int)message: "0:0:0:6:44;" 
"06:16" core (int)message: "0:0:0:6:44;" 
"06:17" core (int)message: "0:0:0:6:44;" 
"06:17" core (int)message: "0:0:0:6:45;" 
"06:17" core (int)message: "0:0:0:6:45;" 
"06:17" core (int)message: "0:0:0:6:46;" 
"06:17" core (int)message: "0:0:0:6:46;" 
"06:17" core (int)message: "0:0:0:6:46;" 
"06:17" core (int)message: "0:0:0:6:47;" 
"06:18" core (int)message: "0:0:0:6:47;" 
"06:18" core (int)message: "0:0:0:6:48;" 
"06:18" core (int)message: "0:0:0:6:48;" 
"06:18" core (int)message: "0:0:0:6:48;" 
"06:18" core (int)message: "0:0:0:6:49;" 
"06:18" core (int)message: "0:0:0:6:49;" 
"06:18" core (int)message: "0:0:0:6:50;" 
"06:18" core (int)message: "0:0:0:6:50;" 
"06:18" core (int)message: "0:0:0:6:50;" 
"06:18" core (int)message: "0:0:0:6:51;" 
"06:18" core (int)message: "0:0:0:6:51;" 
"06:18" core (int)message: "0:0:0:6:51;" 
"06:19" core (int)message: "0:0:0:6:52;" 
"06:19" core (int)message: "0:0:0:6:52;" 
"06:19" core (int)message: "0:0:0:6:53;" 
"06:19" core (int)message: "0:0:0:6:53;" 
"06:19" core (int)message: "0:0:0:6:53;" 
"06:19" core (int)message: "0:0:0:6:54;" 
"06:19" core (int)message: "0:0:0:6:54;" 
"06:19" core (int)message: "0:0:0:6:55;" 
"06:19" core (int)message: "0:0:0:6:55;" 
"06:19" core (int)message: "0:0:0:6:55;" 
"06:19" core (int)message: "0:0:0:6:56;" 
"06:19" core (int)message: "0:0:0:6:56;" 
"06:19" core (int)message: "0:0:0:6:57;" 
"06:19" core (int)message: "0:0:0:6:57;" 
"06:19" core (int)message: "0:0:0:6:57;" 
"06:19" core (int)message: "0:0:0:6:58;" 
"06:19" core (int)message: "0:0:0:6:58;" 
"06:19" core (int)message: "0:0:0:6:58;" 
"06:19" core (int)message: "0:0:0:6:59;" 
"06:19" core (int)message: "0:0:0:6:59;" 
"06:19" core (int)message: "0:0:0:6:60;" 
"06:19" core (int)message: "0:0:0:6:60;" 
"06:19" core (int)message: "0:0:0:6:60;" 
"06:20" core (int)message: "0:0:0:6:61;" 
"06:20" core (int)message: "0:0:0:6:61;" 
"06:20" core (int)message: "0:0:0:6:62;" 
"06:20" core (int)message: "0:0:0:6:62;" 
"06:20" core (int)message: "0:0:0:6:62;" 
"06:20" core (int)message: "0:0:0:6:63;" 
"06:20" core (int)message: "0:0:0:6:63;" 
"06:20" core (int)message: "0:0:0:6:64;" 
"06:20" core (int)message: "0:0:0:6:64;" 
"06:20" core (int)message: "0:0:0:6:64;" 
"06:20" core (int)message: "0:0:0:6:65;" 
"06:20" core (int)message: "0:0:0:6:65;" 
"06:20" core (int)message: "0:0:0:6:66;" 
"06:20" core (int)message: "0:0:0:6:66;" 
"06:20" core (int)message: "0:0:0:6:66;" 
"06:20" core (int)message: "0:0:0:6:67;" 
"06:20" core (int)message: "0:0:0:6:67;" 
"06:20" core (int)message: "0:0:0:6:67;" 
"06:20" core (int)message: "0:0:0:6:68;" 
"06:20" core (int)message: "0:0:0:6:68;" 
"06:20" core (int)message: "0:0:0:6:69;" 
"06:20" core (int)message: "0:0:0:6:69;" 
"06:21" core (int)message: "0:0:0:6:69;" 
"06:21" core (int)message: "0:0:0:6:70;" 
"06:21" core (int)message: "0:0:0:6:70;" 
"06:21" core (int)message: "0:0:0:6:71;" 
"06:21" core (int)message: "0:0:0:6:71;" 
"06:21" core (int)message: "0:0:0:6:71;" 
"06:21" core (int)message: "0:0:0:6:72;" 
"06:21" core (int)message: "0:0:0:6:72;" 
"06:21" core (int)message: "0:0:0:6:73;" 
"06:21" core (int)message: "0:0:0:6:73;" 
"06:21" core (int)message: "0:0:0:6:73;" 
"06:21" core (int)message: "0:0:0:6:74;" 
"06:21" core (int)message: "0:0:0:6:74;" 
"06:21" core (int)message: "0:0:0:6:75;" 
"06:21" core (int)message: "0:0:0:6:75;" 
"06:21" core (int)message: "0:0:0:6:75;" 
"06:21" core (int)message: "0:0:0:6:76;" 
"06:21" core (int)message: "0:0:0:6:76;" 
"06:21" core (int)message: "0:0:0:6:76;" 
"06:21" core (int)message: "0:0:0:6:77;" 
"06:21" core (int)message: "0:0:0:6:77;" 
"06:21" core (int)message: "0:0:0:6:78;" 
"06:21" core (int)message: "0:0:0:6:78;" 
"06:22" core (int)message: "0:0:0:6:78;" 
"06:22" core (int)message: "0:0:0:6:79;" 
"06:22" core (int)message: "0:0:0:6:79;" 
"06:22" core (int)message: "0:0:0:6:80;" 
"06:22" core (int)message: "0:0:0:6:80;" 
"06:22" core (int)message: "0:0:0:6:80;" 
"06:22" core (int)message: "0:0:0:6:81;" 
"06:22" core (int)message: "0:0:0:6:81;" 
"06:22" core (int)message: "0:0:0:6:82;" 
"06:22" core (int)message: "0:0:0:6:82;" 
"06:22" core (int)message: "0:0:0:6:82;" 
"06:22" core (int)message: "0:0:0:6:83;" 
"06:22" core (int)message: "0:0:0:6:83;" 
"06:22" core (int)message: "0:0:0:6:83;" 
"06:22" core (int)message: "0:0:0:6:84;" 
"06:22" core (int)message: "0:0:0:6:84;" 
"06:22" core (int)message: "0:0:0:6:85;" 
"06:22" core (int)message: "0:0:0:6:85;" 
"06:22" core (int)message: "0:0:0:6:85;" 
"06:22" core (int)message: "0:0:0:6:86;" 
"06:22" core (int)message: "0:0:0:6:86;" 
"06:22" core (int)message: "0:0:0:6:87;" 
"06:23" core (int)message: "0:0:0:6:87;" 
"06:23" core (int)message: "0:0:0:6:87;" 
"06:23" core (int)message: "0:0:0:6:88;" 
"06:23" core (int)message: "0:0:0:6:88;" 
"06:23" core (int)message: "0:0:0:6:89;" 
"06:23" core (int)message: "0:0:0:6:89;" 
"06:23" core (int)message: "0:0:0:6:89;" 
"06:23" core (int)message: "0:0:0:6:90;" 
"06:23" core (int)message: "0:0:0:6:90;" 
"06:23" core (int)message: "0:0:0:6:91;" 
"06:23" core (int)message: "0:0:0:6:91;" 
"06:23" core (int)message: "0:0:0:6:91;" 
"06:23" core (int)message: "0:0:0:6:92;" 
"06:23" core (int)message: "0:0:0:6:92;" 
"06:23" core (int)message: "0:0:0:6:92;" 
"06:23" core (int)message: "0:0:0:6:93;" 
"06:23" core (int)message: "0:0:0:6:93;" 
"06:23" core (int)message: "0:0:0:6:94;" 
"06:23" core (int)message: "0:0:0:6:94;" 
"06:23" core (int)message: "0:0:0:6:94;" 
"06:23" core (int)message: "0:0:0:6:95;" 
"06:23" core (int)message: "0:0:0:6:95;" 
"06:24" core (int)message: "0:0:0:6:96;" 
"06:24" core (int)message: "0:0:0:6:96;" 
"06:24" core (int)message: "0:0:0:6:96;" 
"06:24" core (int)message: "0:0:0:6:97;" 
"06:24" core (int)message: "0:0:0:6:97;" 
"06:24" core (int)message: "0:0:0:6:98;" 
